country,avg_imdb_rating,num_rated_movies,total_imdb_votes,avg_imdb_votes,median_imdb_votes
Albania,7.24,211,11757.0,56.0,21.0
Bosnia and Herzegovina,6.5,34,12409.0,365.0,163.0
Bulgaria,6.93,213,76298.0,358.0,68.0
Croatia,6.38,167,101217.0,606.0,260.0
Greece,6.13,859,648912.0,755.0,181.0
Kosovo,6.48,12,4076.0,340.0,126.0
Montenegro,5.92,12,1894.0,158.0,104.0
North Macedonia,7.2,22,29603.0,1346.0,286.0
Romania,6.67,830,446449.0,538.0,92.0
Serbia,6.32,303,430915.0,1422.0,254.0
Slovenia,6.29,105,29841.0,284.0,150.0
Yugoslavia,6.75,643,219037.0,341.0,84.0
